1	[-0.2603928967550845, 0.4044018136769791, 0.19178071581951572, 3.1045480417788234, -0.0246997428525828, 0.0529387236204701]
1	[-0.26039978036737965, 0.4043987388854938, 0.19178862401482458, 3.104593313884492, -0.02460675011112563, 0.05297526728344603]
1	[-0.2603995244210542, 0.40441278572131534, 0.19181147864066286, 3.104668693139427, -0.02462755885306897, 0.052920515413012584]
1	[-0.26041080920118326, 0.4043995886642123, 0.19179382545264573, 3.1046023227427217, -0.024571590598098634, 0.05289350176310738]
1	[-0.2603935431777849, 0.4044121500396133, 0.19179033845200866, 3.1045881162904894, -0.02469973077142402, 0.05295859221857939]
1	[-0.2604021998524311, 0.40439850870298827, 0.19180074717441925, 3.1046207910762993, -0.024608400872049983, 0.05292404279642924]
1	[-0.260402749528036, 0.4044276919234995, 0.19180272064662732, 3.1046269214876667, -0.024663244142161853, 0.052960010785695386]
1	[-0.2604067131738548, 0.40440931700018934, 0.19180591056108792, 3.1046510822436133, -0.024646619940448877, 0.0528914383587854]
1	[-0.26040937450812884, 0.4044138689101837, 0.19180488214010383, 3.1046480025642245, -0.024647079995051724, 0.05287287173174354]
1	[-0.26039042860256467, 0.40441601443778696, 0.19179149206736668, 3.104596365444484, -0.024699664084706318, 0.052934654318796875]
1	[-0.26040191005859736, 0.4043852590970409, 0.1918004021729146, 3.1045874974108925, -0.024683510777738366, 0.052883308934374304]
1	[-0.2604076603785323, 0.40438520091505703, 0.19179152963278565, 3.1045874973609, -0.024627541173225968, 0.0528829893903316]
1	[-0.2603980605714976, 0.40439551760538905, 0.19178951964028962, 3.1045794745370574, -0.024682441795381406, 0.052904575906722186]
1	[-0.2604031832941872, 0.4043976914933116, 0.19178854555374486, 3.104583537927007, -0.024645020857038454, 0.052922835002112596]
1	[-0.2604097139197325, 0.4043959256761329, 0.19180187368091636, 3.1046263912482357, -0.024609515559468904, 0.052883040227546606]
1	[-0.2604151214840084, 0.40440312369417614, 0.19181145248659737, 3.104666483285656, -0.02459097320132613, 0.05290417055869755]
1	[-0.26040573382748333, 0.4044061433284887, 0.19179698167786965, 3.104605664912859, -0.024682982693808718, 0.052913333562414094]
1	[-0.2603925102687348, 0.4044004603542253, 0.19178506507483117, 3.104581823531508, -0.024644938291685965, 0.0529218533896671]
